ID,LID,Width,Color,type,LinkID
544,544,0.15,W,0,17493
545,545,0.15,W,0,17434
546,546,0.15,W,0,17376
547,547,0.15,W,0,17317
548,548,0.15,W,0,18203
549,549,0.15,W,0,18186
550,550,0.15,W,0,18171
551,551,0.15,W,0,18155
552,552,0.15,W,0,18143
553,553,0.15,W,0,18135
554,554,0.15,W,0,18127
555,555,0.15,W,0,18120
556,556,0.15,W,0,18113
557,557,0.15,W,0,18104
558,558,0.15,W,0,18097
559,559,0.15,W,0,18089
560,560,0.15,W,0,18078
561,561,0.15,W,0,18063
562,562,0.15,W,0,18029
563,563,0.15,W,0,17974
564,564,0.15,W,0,46537
565,565,0.15,W,0,27859
566,566,0.15,W,0,18171
567,567,0.15,W,0,18155
568,568,0.15,W,0,27816
569,569,0.15,W,0,18135
570,570,0.15,W,0,18127
571,571,0.15,W,0,18120
572,572,0.15,W,0,18112
573,573,0.15,W,0,18104
574,574,0.15,W,0,27772
575,575,0.15,W,0,27764
576,576,0.15,W,0,27753
577,577,0.15,W,0,27739
578,578,0.15,W,0,18029
579,579,0.15,W,0,17975
580,580,0.15,W,0,46537
581,581,0.15,W,0,27860
582,582,0.15,W,0,27844
583,583,0.15,W,0,27828
584,584,0.15,W,0,27816
585,585,0.15,W,0,27808
586,586,0.15,W,0,27801
587,587,0.15,W,0,27794
588,588,0.15,W,0,27787
589,589,0.15,W,0,27779
590,590,0.15,W,0,27772
591,591,0.15,W,0,27764
592,592,0.15,W,0,27754
593,593,0.15,W,0,27739
594,594,0.15,W,0,27705
595,595,0.15,W,0,27651
596,596,0.15,W,0,16534
597,597,0.15,W,0,16895
598,598,0.15,W,0,16895
599,599,0.15,W,0,7324
600,600,0.15,W,0,10242
601,601,0.15,Y,0,10241
602,602,0.15,Y,0,18540
603,603,0.15,W,0,18540
604,604,0.15,W,0,24376
605,605,0.15,W,0,24376
606,606,0.15,W,0,17916
